Person_Id,Company Name,Car,Style,Range(Km/Full Charge),Transmission,VehicleType,PriceRange,Capacity(Seats),BootSpace,BaseModel,TopModel,Charging Time(hrs),Color,Free Services,Delivery Days,Ratings(out of 5)
fed4ae,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Blue,3 Years of Free Scheduled Maintenance,22,3.93
dbcda2,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,48,2.57
fff028,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,White,5 Years of Free Service Plan,38,4.19
dde2bd,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Silver,3 Years of Free Maintenance,55,3.28
4.42E+06,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,34,1.84
9e7f22,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,White,Free Home Charging Unit,15,2.95
a3c32d,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1560000,5,350 L,XM,Dark XZ Plus LUX,8,Blue,Free Charging Station Installation,23,3.41
504d3a,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,48,2.77
248a1b,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11500000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,30,3.66
f9c7b6,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,22,1.8
0bf59c,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,45,3.12
128b8a,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,4,1.71
3c3993,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1699999,5,350 L,XM,Dark XZ Plus LUX,8,Red,Free Charging Station Installation,3,1.4
e7a5c9,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,55,2.17
386156,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,9,3.04
e2b9ec,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,52,3.05
aefd91,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Black,Free Maintenance and Roadside Assistance,32,2.22
9a1440,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2398000,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,55,4.63
af5599,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1399000,5,350 L,XM,Dark XZ Plus LUX,8,Blue,Free Charging Station Installation,17,1.85
e70b18,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11100000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,47,1.92
3e48eb,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,55,3.91
dc5975,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,12,4.36
e7fd1a,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,31,1.04
512cd5,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,23,1.12
883421,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,54,2.4
3a5104,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,16,1.72
7c1c53,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,47,2.79
9b318c,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,3,3.73
976f7a,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,56,4.69
cba555,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,39,2.24
6e77f2,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,16,1.9
b18674,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Red,Free Maintenance and Roadside Assistance,47,4.01
6fd680,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,S,Sportback 55,12,Blue,3 Years of Free Scheduled Maintenance,22,2.68
280592,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1255500,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,22,1.08
830ef4,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1923709,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,33,3.98
db4ecc,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10700000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,4,3.53
71be61,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10600000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,34,4.96
648722,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1299999,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,56,2.7
bc8774,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Red,Free Software Updates,49,3.23
3b5963,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,24,1.83
53316f,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Grey,3 Years of Free Maintenance,19,2.12
499589,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,26,2.8
5ddac8,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2245000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,50,3.37
1.97E+98,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,12,4.85
20def4,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,30,3.29
a0ad43,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10700000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,58,3.31
9d55bd,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,13,1.57
dadf95,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,31,3.53
cec7c6,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,32,1.02
5f0a09,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1923709,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,24,2.74
f414ae,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2398000,5,332 L,Premium Dual Tone,HSE,9,White,3 Years of Free Roadside Assistance,48,4.74
6af6cb,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,50,2.18
4f92c6,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10800000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,8,3.3
6.77E+51,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,14,3.34
6a4990,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,12,2.25
064f41,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,18,1.67
bff696,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2215000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,13,1.79
896a6d,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,30,1.01
a94e96,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10800000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,31,4.78
cb05e5,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,15,3.68
dfa2c9,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387500,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,47,2.33
df8eb1,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,50,4.92
9ec88c,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,34,2.63
d375ad,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11900000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,18,4.42
54933a,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1260000,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,15,3.34
c9bbdc,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,11,2.61
d81a43,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,21,2.61
8152bb,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,43,4.18
8f93f2,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,18,2
18ac7c,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1260000,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,54,1.33
9cf707,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2555000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,57,2.75
a779a4,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,20,1.63
1fbd1d,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1560000,5,350 L,XM,Dark XZ Plus LUX,8,Red,Free Charging Station Installation,43,4.24
8d694e,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1774000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,59,1.43
e40d8f,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1560000,5,350 L,XM,Dark XZ Plus LUX,8,White,Free Charging Station Installation,8,4.68
f37b83,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11100000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,52,1.19
b42323,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,46,2.85
358cc6,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2379000,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,49,4.21
f2ce4b,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10700000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,13,3.73
156a9f,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,21,3.52
9b06ed,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,19,1.37
7ba81a,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1555500,5,350 L,XM,Dark XZ Plus LUX,8,Grey,Free Charging Station Installation,57,3.75
88e378,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2245000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,47,3.17
f082af,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,34,2.28
6e8af3,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,8,4
92c373,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1774000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,57,1.54
75b1ce,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,36,1.09
a5e5cf,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,White,Free Home Charging Unit,20,2.1
80074f,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,51,2.78
61352f,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,25,3.67
c18a1e,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Silver,3 Years of Free Maintenance,48,4.83
920494,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,25,2.95
24da7a,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Red,Free Software Updates,22,1.67
71ab81,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10600000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,42,1.27
c4e25c,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1330700,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,27,4.37
1cbc04,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2386900,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,58,1.15
de9edf,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,4,1.99
fbb429,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,53,4.47
6788ca,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,33,3.41
500197,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2385000,5,332 L,Premium Dual Tone,HSE,9,Blue,3 Years of Free Roadside Assistance,31,1.56
68b381,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,24,2.65
bf2ceb,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,51,1.4
535b15,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,52,3.65
1b87ea,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,45,3.55
363981,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,18,1.36
5cbd32,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,21,4.67
7953ea,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387520,5,332 L,Premium Dual Tone,HSE,9,Blue,3 Years of Free Roadside Assistance,44,4.98
4b33d4,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,47,2.02
89865f,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1490700,5,350 L,XM,Dark XZ Plus LUX,8,Silver,Free Charging Station Installation,14,3.09
912da9,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2215000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,37,1.49
81646,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1260000,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,27,2.57
50b98e,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1774000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,8,3.61
